"Creation date";"Finish date";"Internal id";"Organization user";"Requisite";"Method";"Status";"Amount";"Currency";"Crypto amount";"Trader profit"
"08.07.2025 09:49:54";"08.07.2025 11:53:31";"1338232";"Roma";44147;"SBP";"Success";"6000";"RUB";"79,04";"2,45"
"08.07.2025 07:15:17";"08.07.2025 08:00:40";"1338058";"Roma";42283;"CARD";"Success";"4000";"RUB";"52,69";"1,63"
"08.07.2025 04:30:41";"08.07.2025 04:57:45";"1337963";"Roma";44147;"SBP";"Success";"3000";"RUB";"39,38";"1,22"
"08.07.2025 03:52:38";"08.07.2025 05:07:14";"1337937";"Roma";44147;"SBP";"Success";"4000";"RUB";"52,69";"1,63"
"07.07.2025 12:35:19";"07.07.2025 13:38:18";"1336499";"Roma";42283;"CARD";"Success";"5000";"RUB";"65,87";"2,04"
"03.07.2025 03:13:01";"03.07.2025 04:23:31";"1326524";"Roma";42283;"CARD";"Success";"3500";"RUB";"46,71";"1,45"
"02.07.2025 10:36:34";"02.07.2025 11:19:48";"1324736";"Roma";42283;"CARD";"Success";"7500";"RUB";"98,46";"3,05"
"02.07.2025 08:18:00";"02.07.2025 10:27:09";"1324425";"Roma";42283;"CARD";"Success";"8000";"RUB";"104,64";"3,25"
"02.07.2025 03:19:18";"02.07.2025 04:12:35";"1323920";"Roma";42283;"CARD";"Success";"10000";"RUB";"132,68";"4,12"
"01.07.2025 10:05:08";"01.07.2025 11:47:38";"1321673";"Roma";42283;"CARD";"Success";"6000";"RUB";"77,98";"2,41"
"01.07.2025 05:24:05";"01.07.2025 06:43:46";"1321132";"Roma";42283;"CARD";"Success";"3500";"RUB";"45,74";"1,42"
"01.07.2025 05:15:12";"01.07.2025 05:45:45";"1321118";"Roma";42283;"CARD";"Success";"4000";"RUB";"52,23";"1,62"
"01.07.2025 03:21:50";"01.07.2025 04:36:06";"1320928";"Roma";42283;"CARD";"Success";"3000";"RUB";"39,49";"1,22"